Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,NA,NA,15.310321,NA,NA,NA,NA,15.703398,NA,NA,NA,NA,16.046343,NA,NA,NA,NA,16.463311,NA,NA,NA,NA,16.901195,NA,NA,NA,NA,17.229898,NA,NA,NA
Afghanistan,AFG,"Life expectancy at age 60, male (years)",SP.DYN.LE60.MA.IN,NA,NA,13.903487,NA,NA,NA,NA,14.242652,NA,NA,NA,NA,14.548545,NA,NA,NA,NA,14.904158,NA,NA,NA,NA,15.277027,NA,NA,NA,NA,15.561844,NA,NA,NA
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,48.397,49.144,50.32,52.739,53.544,54.087,54.806,55.151,54.818,56.3,56.858,57.344,57.672,58.65,59.216,59.697,60.243,60.909,61.529,61.892,62.408,62.993,63.514,64.027,64.274,64.576,65.096,66.099,66.458,66.677,65.432
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,43.709,44.353,45.07,50.216,49.531,51.039,51.722,52.153,51.134,53.41,53.762,54.272,55.227,56.032,56.658,57.013,57.133,57.342,58.172,58.82,59.278,59.825,60.317,60.791,60.812,60.76,61.193,60.105,59.923,60.619,59.866
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.967,46.663,47.596,51.466,51.495,52.544,53.243,53.634,52.943,54.846,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575
Albania,ALB,"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,NA,NA,20.44666,NA,NA,NA,NA,21.027838,NA,NA,NA,NA,21.964661,NA,NA,NA,NA,22.115327,NA,NA,NA,NA,22.883219,NA,NA,NA,NA,22.855581,NA,NA,NA
Albania,ALB,"Life expectancy at age 60, male (years)",SP.DYN.LE60.MA.IN,NA,NA,16.785828,NA,NA,NA,NA,17.157867,NA,NA,NA,NA,18.366211,NA,NA,NA,NA,18.154308,NA,NA,NA,NA,20.10997,NA,NA,NA,NA,20.923416,NA,NA,NA
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,76.433,76.631,76.972,77.118,77.258,77.511,77.746,77.316,78.021,78.209,78.419,78.618,78.823,79.057,79.237,79.493,79.686,80.247,80.429,80.544,80.688,80.798,80.703,80.781,81.013,81.183,81.377,81.504,81.608,81.666,79.676
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.05,70.321,70.66,70.957,71.202,71.428,71.669,70.773,72.19,72.401,72.646,72.921,73.22,73.499,73.786,74.033,74.243,75.1,75.163,75.316,75.493,75.693,75.73,75.786,76.114,76.404,76.639,76.873,77.037,77.168,74.632
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.144,73.378,73.715,73.939,74.131,74.362,74.592,73.904,74.99,75.183,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989
Algeria,DZA,"Life expectancy at age 60, female (years)",SP.DYN.LE60.FE.IN,NA,NA,18.143041,NA,NA,NA,NA,19.047629,NA,NA,NA,NA,20.318463,NA,NA,NA,NA,21.431651,NA,NA,NA,NA,22.063943,NA,NA,NA,NA,22.647405,NA,NA,NA
Algeria,DZA,"Life expectancy at age 60, male (years)",SP.DYN.LE60.MA.IN,NA,NA,16.366178,NA,NA,NA,NA,17.455567,NA,NA,NA,NA,18.926251,NA,NA,NA,NA,20.376212,NA,NA,NA,NA,21.026092,NA,NA,NA,NA,21.529799,NA,NA,NA
Algeria,DZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,68.517,69.007,69.307,69.202,69.169,69.518,70.4,70.925,71.262,71.414,71.949,72.197,72.559,72.25,72.812,73.075,73.379,73.735,74.071,74.864,74.873,75.236,75.478,75.84,76.467,76.824,76.803,76.821,77.205,77.76,75.912
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,66.313,66.378,66.238,66.263,65.621,65.489,67.134,67.49,67.744,68.703,69.068,69.498,69.943,70.344,70.735,71.069,71.313,71.499,71.841,72.413,72.769,73.04,72.971,73.43,73.803,74.456,74.693,74.7,74.966,75.238,73.082
